File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\USAMA\Desktop\FYP2\event_hub\src\serviceWorker.js,"registerValidSW(swUrl, config)",42,32,21,5,2,1,8,53,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\serviceWorker.js,"checkValidServiceWorker(swUrl, config)",28,24,16,1,0,0,4,44,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\serviceWorker.js,unregister(),6,6,5,1,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\ActivateUser.js,render(),20,19,5,1,1,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\Attendence.js,render(),19,19,5,1,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\AttendencePage.js,render(),38,38,27,5,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\EditProfile.js,componentDidMount(),3,3,1,0,0,1,0,1,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\EditProfile.js,render(),54,54,29,3,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\EventForm.js,render(),76,76,55,3,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\EventRequestPage.js,componentDidMount(),4,4,1,0,0,1,0,1,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\EventRequestPage.js,render(),75,75,47,3,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\Images.js,handleDelete=(id),5,5,4,0,0,1,0,1,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\OrganizerForm.js,render(),60,60,30,3,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\OrganizerRequest.js,render(),45,45,24,1,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\Profile.js,render(),31,31,13,2,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\Request.js,render(),50,50,27,1,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\components\UserProfile.js,render(),41,38,18,1,0,0,3,3,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\EventDetailView.js,MyVerticallyCenteredModal(props),24,24,8,1,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\EventDetailView.js,componentDidMount(),3,3,1,0,0,1,0,1,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\EventDetailView.js,render(),111,110,63,1,1,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\ImageListView.js,render(),3,3,4,1,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\Layout.js,render(),60,59,17,1,1,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\Layout3.js,render(),41,41,37,3,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventAttendees.js,render(),42,41,25,4,1,1,0,2,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventDetailView.js,componentDidMount(),5,5,2,0,0,1,0,1,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventDetailView.js,render(),125,123,68,3,2,1,0,3,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventDetailView2.js,componentDidMount(),5,5,2,0,0,1,0,1,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventDetailView2.js,Date()>new Date(this.state.event.event_date),3,3,1,0,0,1,0,1,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventDetailView2.js,render(),57,57,36,3,0,1,0,3,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventListView.js,constructor(props),3,3,3,0,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventListView.js,handleChange(value),28,28,13,2,0,2,0,2,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventListView.js,render(),30,30,15,3,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventPayments.js,render(),27,26,13,3,1,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\MyEventRegistrations.js,render(),33,32,20,4,1,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\NotificationsListView.js,render(),13,13,8,2,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\RegistrationDetailView.js,render(),23,22,13,2,1,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\RegistrationListView.js,constructor(props),3,3,3,0,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\RegistrationListView.js,handleChange(value),28,28,14,2,0,2,0,2,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\RegistrationListView.js,render(),25,25,10,2,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\UpdateEvent.js,componentDidMount(),5,5,2,0,0,1,0,1,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\UpdateEvent.js,render(),79,79,41,3,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\UserRequests.js,constructor(props),3,3,3,0,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\UserRequests.js,handleChange(value),28,28,14,2,0,2,0,2,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\UserRequests.js,render(),22,22,11,2,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\LayoutsFolder\Layout.js,render(),60,59,17,1,1,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\LayoutsFolder\Layout3.js,render(),41,41,37,3,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\AttendencePage.js,render(),38,38,27,5,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\MyEventAttendees.js,render(),42,41,25,4,1,1,0,2,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\MyEventDetailView2.js,componentDidMount(),5,5,2,0,0,1,0,1,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\MyEventDetailView2.js,Date()>new Date(this.state.event.event_date),3,3,1,0,0,1,0,1,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\MyEventDetailView2.js,render(),57,57,36,3,0,1,0,3,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\MyEventListView.js,constructor(props),3,3,3,0,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\MyEventListView.js,handleChange(value),28,28,13,2,0,2,0,2,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\MyEventListView.js,render(),30,30,15,3,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\MyEventPayments.js,render(),27,26,13,3,1,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\MyEventRegistrations.js,render(),33,32,20,4,1,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\UpdateEvent.js,componentDidMount(),5,5,2,0,0,1,0,1,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\OrganizerFolder\UpdateEvent.js,render(),79,79,41,3,0,0,0,0,
C:\Users\USAMA\Desktop\FYP2\event_hub\src\containers\Profile\Profile.js,render(),31,31,13,2,0,0,0,0,
